Dataset,CLASSIX - density,CLASSIX - distance,DBSCAN,k-means++
Aggregation,0.9655879738354646,0.9578057826993307,0.9383035674982368,0.8262205659174189
Compound,0.8880366241356472,0.8313770037706787,0.8939580101411723,0.7223416671407438
D31,0.9252557345716476,0.9373661000138508,0.7379466646941417,0.9668866707053103
Flame,0.9356579552065291,0.8101141172291583,0.7504008731586396,0.36808072242261897
Jain,1.0,1.0,0.842125281962017,0.5097629848341766
Pathbased,0.731178862285122,0.6950244895066796,0.7417171642674433,0.5577829862532564
R15,0.9652747841605344,0.9854491168409636,0.9220368156197005,0.9938103763245356
Spiral,1.0,0.9598395602889037,1.0,-0.005187834738038935
