Dataset,CLASSIX - density,CLASSIX - distance,DBSCAN,k-means++
Aggregation,0.9641847311887344,0.9159759325802469,0.901835337112778,0.7112817227798832
Compound,0.8458416088023509,0.8208854167070264,0.9164033992471398,0.580612399322446
D31,0.8262695081061465,0.8963271051765958,0.31482079028814836,0.954785597749651
Flame,0.9666558009707376,0.8695133875459655,0.8362358447142196,0.40944024485706926
Jain,1.0,1.0,0.9380577318034881,0.552751161834573
Pathbased,0.6803351554545519,0.6118139804466249,0.7455786238379941,0.4797415258613849
R15,0.9095021640376705,0.9820854701480706,0.9001872883495454,0.9927781994136302
Spiral,1.0,0.9709789850297171,1.0,-0.005585280889939624
