max_leaves,n_leaves,depth,fidelity_to_kmeans
4,4,3,0.9447
5,5,4,0.9785
6,6,4,0.9873
7,7,4,0.9883
8,8,4,0.9887
9,9,5,0.9894
10,10,5,0.9894
11,11,6,0.9927
12,12,7,0.9936
13,13,8,0.9945
14,14,8,0.9951
15,15,8,0.9951
16,16,8,0.9951
